題號|題目|選項1|選項2|選項3|選項4|正確答案
810|下列何者不是針對水安全風險的調適策略選項?|灌溉基礎設施建設|生態截流系統或滯洪池|排水系統、建築和城市設計規範|貧民區/水資源改造|3
811|ESG 永續風險中的S是指什麼?|治安|環境|治理|社會|4
812|海平面上升趨勢會使產險公司面臨何種風險?|立即性的氣候實體風險|長期性的氣候實體風險|市場風險|技術風險|2
813|下列何者不是溫室氣體?|水蒸氣|一氧化二氮|氨氣|二氧化碳|3
814|有關全球碳定價推動與趨勢的數據資料可以到哪一個單位的網站查詢?|Climate Central|聯合國政府間氣候變遷專門委員會|Climate Wise|世界銀行|4
815|聯合國政府間氣候變遷專門委員會(IPCC)AR6 報告中評估達成世紀末地表增溫不超過1.5度的代表路徑為何?|SSP1-1.9|SSP1-2.6|SSP2-4.5|SSP5-8.5|1
816|下列何者為金融機構面對治理風險應有的作為?|與大學產學合作|增加聘用身心障礙員工|建立完善的育嬰留職停薪制度|成立「防制洗錢及打擊資恐委員會」|4
817|金融機構協助消除貧窮的措施有哪些?|協助公益彩券發行|銷售微型保單|成立慈善基金會|以上皆是|4
818|根據聯合國政府間氣候變遷專門委員會(IPCC)AR6報告,全球升溫在21中期(2041-2060年)很可能超過2 C的是哪一種情境?|SSP1-1.9|SSP1-2.6|SSP2-4.5|SSP5-8.5|4
819|聯合國政府間氣候變遷專門委員會(IPCC)對未來全球氣候長期推估中,採用的溫室氣體排放軌跡情境,不包含哪一種溫室氣體?|甲烷|一氧化二氮|臭氧|二氧化碳|3
820|近年來遭遇野火肆虐的地區或國家為何?|僅甲、乙、丙|僅乙、丙、丁|僅甲、乙、丁|甲、乙、丙、丁|4
821|我國於111年底首次發布永續金融評鑑,請問永續金融評鑑的架構主要包含哪三個支柱?|金融、經濟、環保|環境、社會、公司治理|員工發展、客戶服務、風險管理|淨零轉型、普惠金融、法律遵循|2
822|公司A向銀行申請一筆貸款,其資金用途係用作控制溫室氣體排放、耗電量、廚餘及太陽能發電之項目,請問公司A最適合申請之授信為何種類型?|綠色授信|社會授信|永續授信|永續連結授信|1
823|下列何者為強制性的國際倡議?|僅甲、丙|僅甲、丁|僅甲、乙、丁|甲、乙、丙、丁皆非|4
824|在永續金融評鑑中,下列何者屬於「環境支柱指標」?|永續發展目標之設定|氣候風險策略|金融消費保護|資安個資保護|2
825|下列何者為防止漂綠的原則?|聲明應該模糊不清|聲明應簡單易懂,並避免使用難以理解的術語|聲明應隱藏負面訊息|聲明不需要證據支持|2
826|下列有關氣候保險(Climate Insurance)的敘述何者正確?|常使用天氣參數滿足理賠條件便會理賠|保險公司無須訪查被保險人的損害程度|目前臺灣針對農作物所推出的保險即為氣候保險|以上皆是|4
827|何者不屬於綠色授信的產業範圍?|再生能源發電|建置捷運與汽車專用高架橋|回收紙製程能源優化|零燃煤汽電共生|2
828|根據 UNEPFI制定的保險永續發展目標(SDG),保險公司應如何應對氣候變遷?|提供保費更低的保險商品|在保險定價中考量氣候風險|減少保險商品的銷售|針對大型企業提供專屬的優惠方案|2
829|下列敘述何者最切合ESG投資的定義?|將環境、社會及治理等因素納入企業營運決策中|將環境、社會及治理等因素納入投資決策中|將經濟、社會及綠色等因素納入企業營運決策中|將經濟、社會及綠色等因素納入投資決策中|2
830|以下何者不屬於永續相關主題投資的投資主題?|永續農業|性別平等|低碳傾斜投資組合|高股息|4
831|銀行A推出一貸款專案,惟貸款企業應達成與該銀行約定的永續績效指標,請問該專案最可能為什麼類型的授信?|綠色授信|社會授信|永續授信|永續連結授信|4
832|以下何者非機構投資人主要進行盡職治理的方式?|取得經營權|行使投票權|議合|出席股東會|1
833|下列有關於ESG基金與傳統基金的敘述哪些是正確的?|甲乙|甲丙|乙丙|乙丁|4
834|下列何者為參數型天氣保險的優勢?|僅甲、乙|僅甲、丙|僅乙、丙|甲、乙、丙皆是|2
835|請問巴黎協定是在解決哪一方面的全球挑戰?|氣候變遷|勞工權益|性別平等|生物多樣性|1
836|富時羅素 ESG 評比之公司治理支柱下納入之主題?|消費者責任|風險管理|勞工規範基準|以上皆是|2
837|下列何者為保險業善盡ESG責任最有效的方法?|透過高額保費限制中小企業的參與|增加投資組合的報酬率|提供相同保險費率的保單|限制高汙染企業的投保|4
838|有關可持續發展連結債券(Sustainability linked bonds)之敘述,何者最為符合?|僅可持續發展績效優於同業者得發行|債券本息支付條件與發行人可持續發展績效目標相連結之債券|所募集之資金全數用於綠色投資計畫|以上皆非|2
839|以下何者非限定資金用途綠色債券原則中,發行人之年度報告應包含之項目?|募集資金投資的項目清單|獲配資金金額|預期效益|往年曾發行之其他債券項目|4
840|下列有關於永續保險原則(PSI)之敘述何者錯誤?|為第一個針對保險業的架構|由聯合國環境規劃署金融倡議機構啟動|必須將巴黎協定整合至業務發展中|提供保險公司具體的永續作為|3
